stimulus_set,question_type,sample_id,image_path,filename,figure_type,figure_rotation,number_rotation,number_position_x,number_position_y,number_location_x,number_location_y,relative_location,number_appearance_type,number_appearance,target,model_answer,model
level_2_rotations,visual,level_2_rotations_000_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0000_front.jpg,level_2_rot_image_0000_front.jpg,arrowman_1,10.0,280.0,343,216,right,bottom,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_001_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0001_front.jpg,level_2_rot_image_0001_front.jpg,arrowman_1,10.0,280.0,272,172,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_002_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0002_front.jpg,level_2_rot_image_0002_front.jpg,arrowman_1,10.0,280.0,326,143,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_003_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0003_front.jpg,level_2_rot_image_0003_front.jpg,arrowman_1,10.0,280.0,283,185,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_004_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0004_front.jpg,level_2_rot_image_0004_front.jpg,arrowman_1,10.0,280.0,354,156,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_005_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0005_front.jpg,level_2_rot_image_0005_front.jpg,arrowman_1,10.0,280.0,299,123,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_006_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0006_front.jpg,level_2_rot_image_0006_front.jpg,arrowman_1,10.0,280.0,311,133,right,top,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_007_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0007_front.jpg,level_2_rot_image_0007_front.jpg,arrowman_1,10.0,280.0,279,132,right,top,front,figure_perspective,M,m,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_008_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0008_front.jpg,level_2_rot_image_0008_front.jpg,arrowman_1,10.0,280.0,252,185,right,top,front,figure_perspective,M,m,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_009_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0009_front.jpg,level_2_rot_image_0009_front.jpg,arrowman_1,10.0,280.0,289,222,right,bottom,front,figure_perspective,M,m,3,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_010_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0010_front.jpg,level_2_rot_image_0010_front.jpg,arrowman_1,10.0,10.0,266,171,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_011_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0011_front.jpg,level_2_rot_image_0011_front.jpg,arrowman_1,10.0,10.0,340,213,right,bottom,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_012_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0012_front.jpg,level_2_rot_image_0012_front.jpg,arrowman_1,10.0,10.0,291,115,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_013_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0013_front.jpg,level_2_rot_image_0013_front.jpg,arrowman_1,10.0,10.0,354,211,right,bottom,front,figure_perspective,E,e,M,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_014_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0014_front.jpg,level_2_rot_image_0014_front.jpg,arrowman_1,10.0,10.0,337,224,right,bottom,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_015_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0015_front.jpg,level_2_rot_image_0015_front.jpg,arrowman_1,10.0,10.0,258,191,right,bottom,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_016_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0016_front.jpg,level_2_rot_image_0016_front.jpg,arrowman_1,10.0,10.0,362,218,right,bottom,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_017_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0017_front.jpg,level_2_rot_image_0017_front.jpg,arrowman_1,10.0,10.0,345,206,right,bottom,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_018_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0018_front.jpg,level_2_rot_image_0018_front.jpg,arrowman_1,10.0,10.0,339,226,right,bottom,front,figure_perspective,E,e,m,openai/gpt-4o-mini
level_2_rotations,visual,level_2_rotations_019_visual,datasets/level_2_m_rotations_x10/images/level_2_rot_image_0019_front.jpg,level_2_rot_image_0019_front.jpg,arrowman_1,10.0,10.0,258,175,right,top,front,figure_perspective,E,e,m,openai/gpt-4o-mini
